id,func_group_id,func_group_name,entity_name,entity_id,column_id,l_column_name,p_column_name,data_type,data_size,data_mode,not_null,unique_key,primary_key,data_default,description,modify_desc,col_delete
1,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",1,"ココチモ日次更新受付番号","CCCM_DAYUPD_ACPNUM","CHAR","12","半角","N","Y","1","","yyyymmdd9999","",
2,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",2,"顧客更新トラン","CUST_UPD_TRAN","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
3,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",3,"追求更新トラン","PROMTN_UPD_TRAN","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
4,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",4,"リスト履歴トラン","LST_HST_TRAN","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
5,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",5,"受講履歴差分","LNHST_DIFF","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
6,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",6,"イベントのみデータ","EVENT_ONLY_DATA","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
7,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",7,"ＤＭ中止履歴","DM_SUSPNS_HST","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
8,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",8,"異例テーブルデータ","EXPCTN_TBL_DATA","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
9,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",9,"保留履歴＿リスト","HOLD_HST_LST","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
10,"KJS","サブシステム","ココチモ日次更新トラン＿集信","CCCM_DAYUPD_TRAN_UPLD",10,"保留履歴＿オーダー","HOLD_HST_ODR","CHAR","1","半角","Y","N","","","1:作成対象  ｽﾍﾟｰｽ：作成対象外","",
