id,func_group_id,func_group_name,bus_id,bus_name,func_id,func_name,bat_id,bat_name,dbset_id,dbset_name,table_name,enable_new,enable_update,l_column_name,primary_key,set_content,comment
1,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",1,"取込エラーデータ登録","取込エラーデータ","○","","取込日付","","業務日付",""
2,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","シーケンスＮＯ","","採番したシーケンスNO","oracleシーケンスによる連番
＊採番されるシーケンス番号はエラー分のみとなる"
3,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","データＮＯ","","エラーデータのデータＮＯ",""
4,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","取込内容","","パンチデータの１レコード分",""
5,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","ファイル名","","パンチテータのファイル名",""
6,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","入力方法","","「01：パンチ」",""
7,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","入力ルート","","「07：ウィナーソフト」",""
8,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","取込エラーメッセージ","","６５０バイトでない場合
　「バイト数が不正です。」
対象外データNOの場合
　「データNOが不正です。」",""
9,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","取込レコード番号","","取込時のレコード行数",""
10,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","作成日時","","システム日時",""
11,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","作成ユーザＩＤ","","バッチ処理ID",""
12,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","更新日時","","システム日時",""
13,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","更新ユーザＩＤ","","バッチ処理ID",""
14,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",,"","","○","","削除フラグ","","「0:未削除」",""
15,"KJZ","基幹システム共通","KJZA01","パンチデータ取込","FNKJZA0101","パンチ取込","BTGKJZA0101E01","パンチ取込",1,"リスト受付データ（ヘッダ）登録","リスト受付データ＿ヘッダ","○","","受付番号","","採番した受付番号","'K'+業務日付(YYYYMMDD)+9999999
99999999・・・oracleシーケンスによる連番"
